epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,200.964,1.20912,1.07153,1.73029,1.37063,0.62996,0.41176,0.41344,0.22812,0.68007,0.47059,0.45667,0.13983,1.75741,1.35528,2.21415,1.86564,0.00506716,0.00506716,0.00506716
76,203.189,1.19458,1.1819,1.6316,1.3345,0.3281,0.47059,0.3588,0.16014,0.33601,0.47059,0.34945,0.12964,1.55469,1.19464,2.13523,1.73985,0.0050005,0.0050005,0.0050005
77,205.453,1.28199,1.14671,1.62235,1.35896,0.39365,0.45876,0.29083,0.16928,0.44035,0.50981,0.3412,0.12413,1.60466,1.20949,2.07601,1.8421,0.00493384,0.00493384,0.00493384
78,208.062,1.1731,1.0387,1.65197,1.34669,0.55372,0.35294,0.3921,0.20086,0.55372,0.35294,0.3615,0.14413,1.60521,1.27037,2.06278,1.87959,0.00486718,0.00486718,0.00486718
79,210.548,1.11467,0.99293,1.45323,1.27877,0.37361,0.64706,0.48791,0.22378,0.86113,0.29412,0.46785,0.18191,1.65254,1.23709,1.93209,1.85847,0.00480052,0.00480052,0.00480052
80,212.752,1.16018,1.19605,1.47197,1.30763,0.38851,0.47059,0.43556,0.19097,0.47578,0.41176,0.39863,0.15328,1.6874,1.23692,2.01964,1.92116,0.00473386,0.00473386,0.00473386
81,214.995,1.07989,1.04012,1.44706,1.27286,0.40869,0.47059,0.34075,0.14992,0.40869,0.47059,0.33761,0.12434,1.64241,1.14362,2.2491,1.86284,0.0046672,0.0046672,0.0046672
82,217.243,1.16754,1.10084,1.49263,1.32784,0.5064,0.47059,0.46999,0.24995,0.46627,0.5145,0.46095,0.1634,1.68472,1.25833,1.93904,1.74312,0.00460054,0.00460054,0.00460054
83,219.702,1.03283,1.07825,1.51073,1.22255,0.7282,0.52941,0.51227,0.28751,0.7282,0.52941,0.49849,0.19776,1.59106,1.20379,1.89016,1.76323,0.00453388,0.00453388,0.00453388
84,222.264,1.16432,1.02788,1.4696,1.34393,0.52125,0.52941,0.48373,0.27809,0.65101,0.41176,0.47255,0.17102,1.55119,1.19403,1.85566,1.79086,0.00446722,0.00446722,0.00446722
85,224.577,1.06676,0.98962,1.38422,1.29859,0.6868,0.64706,0.60837,0.28523,0.654,0.58824,0.57029,0.17416,1.65442,1.25567,2.0181,1.87846,0.00440056,0.00440056,0.00440056
86,226.826,1.02198,0.96468,1.38449,1.27875,0.74132,0.41176,0.55285,0.30436,0.74132,0.41176,0.49302,0.18214,1.70687,1.37575,1.8426,1.87733,0.0043339,0.0043339,0.0043339
87,230.515,1.07868,0.96185,1.47001,1.26255,0.55601,0.44307,0.48643,0.26025,0.55601,0.44307,0.42192,0.15261,1.64131,1.37597,1.97094,1.76607,0.00426724,0.00426724,0.00426724
88,233.172,1.11372,1.23627,1.53697,1.30097,0.55667,0.41176,0.51225,0.25348,0.55667,0.41176,0.48291,0.17633,1.65915,1.32905,2.05227,1.77292,0.00420058,0.00420058,0.00420058
89,235.299,1.08894,1.16235,1.47705,1.32326,0.56704,0.47059,0.52751,0.25798,0.56704,0.47059,0.52048,0.18601,1.52693,1.38152,2.13923,1.64436,0.00413392,0.00413392,0.00413392
90,237.447,1.11577,1.05623,1.40349,1.25749,0.36314,0.58824,0.4304,0.2094,0.65447,0.29412,0.40814,0.13535,1.6349,1.29035,2.17731,1.86263,0.00406726,0.00406726,0.00406726
91,239.566,1.11523,1.08152,1.45194,1.30484,0.41166,0.52941,0.47304,0.25315,0.47487,0.47059,0.46442,0.12263,1.57984,1.37607,1.94177,1.71499,0.0040006,0.0040006,0.0040006
92,241.681,1.17764,1.04431,1.43624,1.32691,0.6289,0.52941,0.5465,0.30047,0.6289,0.52941,0.51257,0.15815,1.49897,1.33213,1.84115,1.71764,0.00393394,0.00393394,0.00393394
93,243.801,1.14276,1.04319,1.39246,1.33421,0.58902,0.47059,0.49763,0.28068,0.58902,0.47059,0.48492,0.12052,1.57438,1.31718,1.79866,1.73992,0.00386728,0.00386728,0.00386728
